Time: 2023-01-15 18:54:05,915 | Key: 'n'
Time: 2023-01-15 18:54:05,972 | Key: 'y'
Time: 2023-01-15 18:54:06,248 | Key: Key.space
Time: 2023-01-15 18:54:06,396 | Key: '['
Time: 2023-01-15 18:54:06,404 | Key: 'p'
Time: 2023-01-15 18:54:06,676 | Key: Key.backspace
Time: 2023-01-15 18:54:06,803 | Key: Key.backspace
Time: 2023-01-15 18:54:06,948 | Key: 'm'
Time: 2023-01-15 18:54:07,022 | Key: 'o'
Time: 2023-01-15 18:54:07,034 | Key: 'p'
Time: 2023-01-15 18:54:07,158 | Key: 'd'
Time: 2023-01-15 18:54:07,390 | Key: Key.backspace
Time: 2023-01-15 18:54:07,507 | Key: Key.backspace
Time: 2023-01-15 18:54:07,662 | Key: 'd'
Time: 2023-01-15 18:54:07,744 | Key: 'u'
Time: 2023-01-15 18:54:07,910 | Key: 'l'
Time: 2023-01-15 18:54:08,074 | Key: 'y'
Time: 2023-01-15 18:54:08,206 | Key: Key.space
Time: 2023-01-15 18:54:08,661 | Key: 'b'
Time: 2023-01-15 18:54:08,731 | Key: 'u'
Time: 2023-01-15 18:54:08,822 | Key: 'd'
Time: 2023-01-15 18:54:08,898 | Key: 'o'
Time: 2023-01-15 18:54:08,959 | Key: 'u'
Time: 2023-01-15 18:54:09,034 | Key: Key.space
Time: 2023-01-15 18:54:09,328 | Key: 'u'
Time: 2023-01-15 18:54:09,419 | Key: 'v'
Time: 2023-01-15 18:54:09,568 | Key: 'n'
Time: 2023-01-15 18:54:09,694 | Key: 'i'
Time: 2023-01-15 18:54:09,862 | Key: 't'
Time: 2023-01-15 18:54:09,913 | Key: 'r'
Time: 2023-01-15 18:54:09,996 | Key: Key.enter
Time: 2023-01-15 18:54:10,394 | Key: Key.shift
Time: 2023-01-15 18:54:10,425 | Key: Key.cmd
Time: 2023-01-15 18:54:10,517 | Key: 'A'
Time: 2023-01-15 18:54:11,393 | Key: Key.backspace
Time: 2023-01-15 18:54:11,501 | Key: Key.shift
Time: 2023-01-15 18:54:11,504 | Key: Key.cmd
Time: 2023-01-15 18:54:11,575 | Key: 'S'
Time: 2023-01-15 18:54:16,439 | Key: Key.ctrl_l
Time: 2023-01-15 18:54:16,759 | Key: Key.ctrl_l
Time: 2023-01-15 18:54:16,853 | Key: '\x16'
Time: 2023-01-15 18:54:17,247 | Key: Key.enter
Time: 2023-01-15 18:54:40,004 | Key: 'd'
